,iteracion,path,distancia
126,126,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
127,127,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
128,128,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
129,129,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
130,130,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
131,131,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
132,132,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
133,133,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
134,134,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
135,135,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
136,136,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
137,137,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
138,138,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
139,139,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
140,140,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
141,141,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
142,142,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
143,143,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
144,144,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
145,145,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
146,146,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
147,147,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
148,148,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
149,149,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
150,150,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
151,151,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
152,152,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
153,153,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
154,154,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
155,155,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
156,156,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
157,157,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
158,158,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
159,159,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
160,160,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
161,161,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
162,162,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
163,163,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
164,164,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
165,165,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
166,166,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
167,167,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
168,168,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
169,169,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
170,170,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
171,171,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
172,172,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
173,173,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
174,174,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
175,175,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
176,176,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
177,177,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
178,178,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
179,179,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
180,180,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
181,181,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
182,182,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
183,183,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
184,184,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
185,185,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
186,186,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
187,187,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
188,188,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
189,189,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
190,190,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
191,191,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
192,192,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
193,193,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
194,194,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
195,195,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
196,196,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
197,197,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
198,198,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
199,199,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
200,200,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
201,201,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
202,202,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
203,203,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
204,204,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
205,205,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
206,206,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
207,207,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
208,208,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
209,209,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
210,210,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
211,211,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
212,212,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
213,213,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
214,214,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
215,215,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
216,216,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
217,217,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
218,218,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
219,219,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
220,220,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
221,221,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
222,222,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
223,223,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
224,224,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
225,225,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
226,226,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
227,227,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
228,228,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
229,229,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
230,230,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
231,231,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
232,232,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
233,233,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
234,234,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
235,235,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
236,236,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
237,237,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
238,238,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
239,239,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
240,240,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
241,241,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
242,242,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
243,243,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
244,244,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
245,245,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
246,246,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
247,247,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
248,248,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
249,249,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
250,250,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
251,251,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
252,252,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
253,253,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
254,254,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
255,255,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
256,256,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
257,257,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
258,258,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
259,259,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
260,260,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
261,261,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
262,262,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
263,263,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
264,264,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
265,265,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
266,266,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
267,267,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
268,268,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
269,269,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
270,270,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
271,271,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
272,272,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
273,273,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
274,274,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
275,275,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
276,276,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
277,277,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
278,278,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
279,279,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
280,280,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
281,281,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
282,282,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
283,283,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
284,284,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
285,285,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
286,286,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
287,287,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
288,288,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
289,289,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
290,290,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
291,291,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
292,292,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
293,293,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
294,294,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
295,295,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
296,296,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
297,297,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
298,298,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
299,299,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
300,300,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
301,301,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
302,302,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
