,solucion,conflictos
152,[1 4 7 3 6 2 0 5],2
153,[1 4 7 3 6 2 0 5],2
154,[1 4 7 3 6 2 0 5],2
155,[1 4 7 3 6 2 0 5],2
156,[1 4 7 3 6 2 0 5],2
157,[1 4 7 3 6 2 0 5],2
158,[1 4 7 3 6 2 0 5],2
159,[1 4 7 3 6 2 0 5],2
160,[1 4 7 3 6 2 0 5],2
161,[1 4 7 3 6 2 0 5],2
162,[1 4 7 3 6 2 0 5],2
163,[1 4 7 3 6 2 0 5],2
164,[1 4 7 3 6 2 0 5],2
165,[1 4 7 3 6 2 0 5],2
166,[1 4 7 3 6 2 0 5],2
167,[1 4 7 3 6 2 0 5],2
168,[1 4 7 3 6 2 0 5],2
169,[1 4 7 3 6 2 0 5],2
170,[1 4 7 3 6 2 0 5],2
171,[1 4 7 3 6 2 0 5],2
172,[1 4 7 3 6 2 0 5],2
173,[1 4 7 3 6 2 0 5],2
174,[1 4 7 3 6 2 0 5],2
175,[1 4 6 0 2 7 5 3],0
